phibase_id,uniprot_a,ensembl_a,taxid_species_a,organism_a,taxid_strain_a,strain_a,uniprot_matches_a,modification_a,uniprot_b,ensembl_b,taxid_species_b,organism_b,taxid_strain_b,strain_b,uniprot_matches_b,modification_b,phenotype,disease,host_tissue,evidence_code,interaction_type,pmid,high_level_terms
PHI:3,P26215,,5017,Bipolaris zeicola,,SB111,species,gene disruption,,,4577,Zea mays,,,none,,PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024,PHIDO:0000211,,,interspecies interaction,2152162,Unaffected pathogenicity
PHI:7,P22287,,5499,Fulvia fulva,,,species,gene deletion,,,4081,Solanum lycopersicum,,,none,,,PHIDO:0000209,,gene complementation; biochemical evidence,interspecies interaction,1799694,Effector (plant avirulence determinant)
PHI:12,Q01886,,5017,Bipolaris zeicola,,SB111,species,gene disruption,,,4577,Zea mays,,,none,,,PHIDO:0000211,,,interspecies interaction,11607305,Loss of pathogenicity
PHI:14,P0C017,,5207,Cryptococcus neoformans,235443,var. grubii serotype A strain H99,strain,gene disruption,,,6239,Caenorhabditis elegans,,,none,,,PHIDO:0000105,,gene complementation,interspecies interaction,12438649,Reduced virulence
PHI:14,P0C017,,5207,Cryptococcus neoformans,235443,var. grubii serotype A strain H99,strain,gene disruption,,,9986,Oryctolagus cuniculus,,,none,,,PHIDO:0000105,,gene complementation,interspecies interaction,12438649,Loss of pathogenicity
PHI:15,P52751,,318829,Magnaporthe oryzae,242507,Guy11,strain,gene deletion,,,4530,Oryza sativa,,,none,,,PHIDO:0000053,,,interspecies interaction,8312740,Reduced virulence
PHI:17,Q00663,,5482,Candida tropicalis,,ATCC 750,species,gene disruption,,,10090,Mus musculus,,,none,,,PHIDO:0000071,,gene complementation,interspecies interaction,7983570,Reduced virulence
PHI:18,Q00363,,5499,Fulvia fulva,,,species,gene mutation: characterised,,,4081,Solanum lycopersicum,,,none,,,PHIDO:0000209,,biochemical analysis; gene complementation,interspecies interaction,8114941,Effector (plant avirulence determinant)
PHI:19,P34809,,5207,Cryptococcus neoformans,,H99,species,gene mutation: characterised,,,9986,Oryctolagus cuniculus,,,none,,,PHIDO:0000105,,,interspecies interaction,7991574,Reduced virulence
PHI:22,P49606,,5270,Ustilago maydis,,,species,gene disruption,,,4577,Zea mays,,,none,,,PHIDO:0000338,,gene complementation,interspecies interaction,7995519,Loss of pathogenicity
PHI:24,Q00903,,29850,Gaeumannomyces graminis,,var. avenae strain A3,species,gene disruption,,,4498,Avena sativa,,,none,,PHIPO:0000024,,,,interspecies interaction,7824933,Loss of pathogenicity
PHI:26,P28873,,5476,Candida albicans,,CAI4,species,gene disruption,,,10090,Mus musculus,,,none,,,PHIDO:0000071,,,interspecies interaction,7591094,Reduced virulence
PHI:27,Q00368,,474922,Colletotrichum gloeosporioides,,,species,gene disruption,,,4081,Solanum lycopersicum,,,none,,PHIPO:0000954; PHIPO:0000024,PHIDO:0000013,,,interspecies interaction,7756829,Loss of pathogenicity
PHI:27,Q00368,,474922,Colletotrichum gloeosporioides,,,species,gene disruption,,,3435,Persea americana,,,none,,PHIPO:0000954; PHIPO:0000024,PHIDO:0000013,,,interspecies interaction,7756829,Loss of pathogenicity
PHI:31,P30573,,5476,Candida albicans,,CAI4,species,gene disruption,,,10090,Mus musculus,,,none,,,PHIDO:0000071,,,interspecies interaction,7479842,Reduced virulence
PHI:33,P43076,,5476,Candida albicans,237561,CAF3-1,strain,gene disruption,,,10090,Mus musculus,,,none,,,PHIDO:0000071,,,interspecies interaction,7591097,Reduced virulence
PHI:36,Q01143,,148305,Magnaporthe oryzae,,70-15,species,gene deletion,,,4530,Oryza sativa,,,none,,,PHIDO:0000053,,,interspecies interaction,8535140,Loss of pathogenicity
