ncbi_taxid,scientific_name,common_name
5755,Acanthamoeba castellanii,
5757,Acanthamoeba polyphaga,
61970,Acipenser sinensis,Chinese sturgeon
64478,Actinidia arguta,
3625,Actinidia chinensis,
7029,Acyrthosiphon pisum,pea aphid
7084,Adalia bipunctata,two-spotted ladybird beetle
7159,Aedes aegypti,yellow fever mosquito
108276,Aeschynomene virginica,
5341,Agaricus bisporus,cultivated mushroom
176616,Ageratina adenophora,
4679,Allium cepa,onion
8839,Anas platyrhynchos,mallard
7936,Anguilla anguilla,European eel
30069,Anopheles stephensi,Asian malaria mosquito
226677,Anthurium andraeanum,oilcloth-flower
7460,Apis mellifera,honey bee
4045,Apium graveolens,
3702,Arabidopsis thaliana,thale cress
3818,Arachis hypogaea,peanut
6661,Artemia franciscana,brine shrimp
85549,Artemia salina,
39291,Athelia rolfsii,
4498,Avena sativa,oat
38783,Avena strigosa,black oat
28974,Averrhoa carambola,
161934,Beta vulgaris,sugar beet
7091,Bombyx mori,domestic silkworm
9913,Bos taurus,cattle
15368,Brachypodium distachyon,stiff brome
52824,Brassica carinata,Ethiopian mustard
3707,Brassica juncea,brown mustard
3708,Brassica napus,rape
3712,Brassica oleracea,wild cabbage
3711,Brassica rapa,field mustard
6239,Caenorhabditis elegans,roundworm
9612,Canis lupus,gray wolf
4072,Capsicum annuum,
4073,Capsicum frutescens,hot pepper
217509,Carassius carassius,crucian carp
134033,Castanea dentata,American chestnut
60419,Castanea mollissima,Chinese chestnut
21020,Castanea sativa,European chestnut
10141,Cavia porcellus,domestic guinea pig
63459,Chenopodium quinoa,quinoa
10152,Chinchilla chinchilla,short-tailed chinchilla
34839,Chinchilla lanigera,long-tailed chinchilla
9534,Chlorocebus aethiops,grivet
41568,Chrysanthemum x morifolium,mum
189513,Chrysoperla carnea,
3827,Cicer arietinum,chickpea
13427,Cichorium intybus,chicory
3654,Citrullus lanatus,wild melon
159033,Citrus aurantiifolia,lime
79217,Citrus iyo,
64884,Citrus jambhiri,rough lemon
2708,Citrus limon,lemon
171249,Citrus limonia,yi mu zi
37656,Citrus paradisi,grapefruit
85571,Citrus reticulata,tangerine
2711,Citrus sinensis,sweet orange
55188,Citrus unshiu,satsuma mandarin
164113,Citrus x microcarpa,calamondin
229630,Citrus x tangelo,
269719,Cotinus coggygria,smokebush
292731,Cotinus obovatus,
2567903,Coturnix coromandelica,rain quail
29159,Crassostrea gigas,Pacific oyster
6565,Crassostrea virginica,eastern oyster
7959,Ctenopharyngodon idella,grass carp
39473,Cucumis anguria,gherkin
3656,Cucumis melo,muskmelon
3659,Cucumis sativus,cucumber
3661,Cucurbita maxima,winter squash
3662,Cucurbita moschata,crookneck pumpkin
3663,Cucurbita pepo,vegetable marrow
28977,Cunninghamia lanceolata,China fir
4265,Cynara cardunculus,wild artichoke
244447,Cynoglossus semilaevis,tongue sole
7962,Cyprinus carpio,common carp
7955,Danio rerio,zebrafish
35525,Daphnia magna,
4039,Daucus carota,carrot
3570,Dianthus caryophyllus,clove pink
44689,Dictyostelium discoideum,
7227,Drosophila melanogaster,fruit fly
685034,Dysdercus peruvianus,
6396,Eisenia fetida,common brandling worm
9796,Equus caballus,horse
38414,Eragrostis curvula,weeping love grass
32224,Eriobotrya japonica,loquat
4606,Festuca arundinacea,tall fescue
4608,Festuca pratensis,meadow ryegrass
3747,Fragaria ananassa,strawberry
38873,Fraxinus excelsior,European ash
7137,Galleria mellonella,greater wax moth
9031,Gallus gallus,chicken
3847,Glycine max,soybean
3634,Gossypium barbadense,sea-island cotton
3635,Gossypium hirsutum,cotton
6999,Gryllus bimaculatus,two-spotted cricket
4232,Helianthus annuus,common sunflower
29058,Helicoverpa armigera,cotton bollworm
3981,Hevea brasiliensis,para rubber tree
9606,Homo sapiens,human
4513,Hordeum vulgare,barley
336126,Hylocereus trigonus,strawberry-pear
7998,Ictalurus punctatus,channel catfish
6945,Ixodes scapularis,black-legged tick
