A0A014QTQ8 	PHI:10446
A0A022VQ83	PHI:123414
A0A023H5D8	PHI:6442
A0A023NA98	PHI:3354
A0A023SIL4	PHI:12135
A0A023UJQ9	PHI:5538
A0A023UJQ9	PHI:5557
A0A023Y9U3	PHI:3462
A0A024CHY2	PHI:2935
A0A024CHY4	PHI:4837
A0A024CIG8	PHI:2934
A0A024KPG5	PHI:8489
A0A031WAR9	PHI:4612
A0A031WJD5	PHI:5260
A0A034UTT8	PHI:4481
A0A034UYN5	PHI:4480
A0A045IPH0	PHI:5351
A0A059SVJ2	PHI:4916
A0A059UDR8	PHI:2897
A0A059UDR8	PHI:9472
A0A059XKS9	PHI:9341
A0A059ZHI3	PHI:11014
A0A059ZQI8	PHI:7668
A0A059ZQI8	PHI:11641
A0A059ZR97	PHI:5240
A0A059ZUS1	PHI:6493
A0A060HKF7	PHI:6439
A0A060VFL5	PHI:7478
A0A060VRS3	PHI:123080
A0A061HK55	PHI:10570
A0A061HMY2	PHI:10569
A0A061L181	PHI:10792
A0A062KYV9	PHI:123173
A0A063BP02	PHI:10657
A0A063BQI0 	PHI:9481
A0A063BZ78	PHI:11305
A0A063C0A1	PHI:9163
A0A063C6C7	PHI:11785
A0A063C6H4	PHI:9480
A0A063C6W8	PHI:12003
A0A063CBJ7	PHI:9196
A0A063CKB3	PHI:9971
A0A068B0X0	PHI:7257
A0A068BFA5	PHI:4468
A0A068C8U8	PHI:8382
A0A069AWT6	PHI:11633
A0A069B091	PHI:8776
A0A069B9Y9	PHI:5323
A0A069BGU6	PHI:5334
A0A069FIK9	PHI:12051
A0A069PXM1	PHI:8289
A0A069PXM6	PHI:9931
A0A069PYL4	PHI:11248
A0A072LCF3	PHI:11564
A0A072ZJC4	PHI:10343
A0A075P597	PHI:3468
A0A075TRB3	PHI:3301
A0A075TRC0	PHI:3299
A0A075TRC0	PHI:4505
A0A075TXZ8	PHI:3300
A0A075TXZ8	PHI:4504
A0A075TXZ8	PHI:5352
A0A076LEI9	PHI:4614
A0A076Z9F7	PHI:12136
A0A076ZHT9	PHI:7511
A0A076ZK32	PHI:7497
A0A076ZK37	PHI:7492
A0A076ZMY5	PHI:7520
A0A076ZPI5	PHI:7533
A0A076ZPI8	PHI:7528
A0A077D1S9	PHI:3292
A0A077UVP4	PHI:6342
A0A077XE85	PHI:6130
A0A077XHZ4	PHI:4648
A0A081HZA4	PHI:10183
A0A085DFX7	PHI:7487
A0A085PGU8	PHI:9838
A0A085TMV5	PHI:6219
A0A086IIR8	PHI:7496
A0A086IQC3	PHI:8968
A0A086ITU0	PHI:10209
A0A086VCI7	PHI:6912
A0A088MWZ0	PHI:4600
A0A088U1Z5	PHI:7250
A0A088U4K2	PHI:9577
A0A088UAI6	PHI:9579
A0A090B6B0	PHI:10395
A0A090B8T6	PHI:10397
A0A090BCG3	PHI:10398
A0A090BEA2	PHI:10394
A0A090C282	PHI:10396
A0A094Y528	PHI:4886
A0A095C2M1	PHI:4556
A0A095CFR8	PHI:3332
A0A095CIZ4	PHI:6188
A0A095CJ15	PHI:4557
A0A095EN78	PHI:4555
A0A095RDM0	PHI:11632
A0A097BQG4	PHI:5539
A0A097BVQ8	PHI:3463
A0A097IB07	PHI:3281
A0A097IB07	PHI:4819
A0A098CZE9	PHI:2001
A0A098D0V3 	PHI:1660
A0A098D1G8 	PHI:1654
A0A098D1J7 	PHI:2393
A0A098D1L0 	PHI:1499
A0A098D1L0 	PHI:1501
A0A098D2S6 	PHI:1756
A0A098D2S9 	PHI:1303
A0A098D2Y5 	PHI:3089
A0A098D2Y5 	PHI:4174
A0A098D4S1 	PHI:1686
A0A098D619 	PHI:1711
A0A098D624 	PHI:1281
A0A098D935 	PHI:1727
A0A098DA75 	PHI:1339
A0A098DA98 	PHI:1314
A0A098DAP9 	PHI:1283
A0A098DB09 	PHI:1786
A0A098DBD1	PHI:1776
A0A098DBF3	PHI:1861
A0A098DBH9 	PHI:1798
A0A098DBM1	PHI:5885
A0A098DCA9 	PHI:1829
A0A098DCR9	PHI:5838
A0A098DCV0 	PHI:1401
A0A098DCZ4 	PHI:1439
A0A098DD67	PHI:1721
A0A098DDB6 	PHI:1755
A0A098DDM6 	PHI:1400
A0A098DDT3	PHI:1182
A0A098DDX5 	PHI:1648
A0A098DDX5 	PHI:1650
A0A098DDX5 	PHI:6246
A0A098DE24 	PHI:1792
A0A098DEV9	PHI:1261
A0A098DFE8 	PHI:1520
A0A098DFK7 	PHI:1405
A0A098DG04 	PHI:1270
A0A098DG50	PHI:1164
A0A098DG53	PHI:5847
A0A098DGM6	PHI:1184
A0A098DGM6	PHI:6974
A0A098DGQ1 	PHI:6198
A0A098DH20 	PHI:1898
A0A098DHE1	PHI:1924
A0A098DHQ5 	PHI:1908
A0A098DHQ6 	PHI:1911
A0A098DI68	PHI:5884
A0A098DIG5	PHI:1748
A0A098DIL8	PHI:1949
A0A098DJ03 	PHI:10452
A0A098DJ84 	PHI:3038
A0A098DJJ8 	PHI:1707
A0A098DJU9	PHI:9062
A0A098DJU9	PHI:10449
A0A098DK43	PHI:1705
A0A098DK45	PHI:7123
A0A098DK85	PHI:5887
A0A098DKM1 	PHI:3833
A0A098DKZ1 	PHI:1867
A0A098DL22 	PHI:1841
A0A098DLE7 	PHI:1774
A0A098DM59 	PHI:717
A0A098DM90	PHI:5864
A0A098DMH0	PHI:1088
A0A098DMI2 	PHI:1445
A0A098DMJ4	PHI:5801
A0A098DMW0 	PHI:2432
A0A098DMW0 	PHI:2715
A0A098DMZ8 	PHI:1432
A0A098DNT5	PHI:5883
A0A098DP11 	PHI:1433
A0A098DP54 	PHI:1504
A0A098DPD9 	PHI:1512
A0A098DPU7 	PHI:1871
A0A098DQ47 	PHI:1510
A0A098DQH7 	PHI:722
A0A098DQP4 	PHI:1943
A0A098DRD7 	PHI:1875
A0A098DRE2	PHI:5846
A0A098DRQ4	PHI:8063
A0A098DRQ4	PHI:123543
A0A098DS14 	PHI:1702
A0A098DS24 	PHI:1330
A0A098DSB7 	PHI:1435
A0A098DSY3	PHI:11784
A0A098DTB5	PHI:5802
A0A098DTH7 	PHI:1518
A0A098DTI0	PHI:1180
A0A098DUS9	PHI:9359
A0A098DUU9 	PHI:1840
A0A098DUX9 	PHI:1811
A0A098DUZ8 	PHI:1280
A0A098DVU1 	PHI:1846
A0A098DW43	PHI:12145
A0A098DW84 	PHI:1278
A0A098DWK6	PHI:9156
A0A098DWK6 	PHI:4865
A0A098DWX2 	PHI:1733
A0A098DXE8	PHI:1408
A0A098DXK5	PHI:5734
A0A098DYE9 	PHI:1437
A0A098DYW2 	PHI:1715
A0A098DZF1 	PHI:1782
A0A098DZQ8 	PHI:1508
A0A098E000	PHI:1430
A0A098E0R6	PHI:1696
A0A098E0U9 	PHI:1275
A0A098E0Z2 	PHI:2386
A0A098E1A2	PHI:1864
A0A098E1W1	PHI:1195
A0A098E1X6 	PHI:1558
A0A098E219 	PHI:1785
A0A098E2A1 	PHI:1938
A0A098E2F3 	PHI:1425
A0A098E2K8	PHI:1834
A0A098E321 	PHI:1725
A0A098E396 	PHI:1505
A0A098E396 	PHI:1624
A0A098E3M9 	PHI:1621
A0A098E3Q0 	PHI:1265
A0A098E428	PHI:5771
A0A098E4D6	PHI:1697
A0A098E4H8 	PHI:1819
A0A098E4K9 	PHI:1940
A0A098E5B5 	PHI:1856
A0A098KL11	PHI:4782
A0A098SF15	PHI:123501
A0A098YX93	PHI:3476
A0A0A0S3X0	PHI:5401
A0A0A1UVV3	PHI:10424
A0A0A1V4H7 	PHI:10423
A0A0A2HZI5	PHI:8720
A0A0A2IBU9	PHI:10754
A0A0A2ILW0	PHI:7664
A0A0A2J5T2	PHI:8718
A0A0A2JAN7	PHI:10404
A0A0A2JB06	PHI:7667
A0A0A2JDZ1	PHI:11782
A0A0A2JGQ7	PHI:9299
A0A0A2JPI4	PHI:8719
A0A0A2JSB8	PHI:11783
A0A0A2JVC2	PHI:7665
A0A0A2JW21	PHI:9298
A0A0A2JY92	PHI:7666
A0A0A2JZB1	PHI:8722
A0A0A2JZB1	PHI:8724
A0A0A2KBK6	PHI:11781
A0A0A2KLD7	PHI:9754
A0A0A2KRU1	PHI:6881
A0A0A2L0F6	PHI:8723
A0A0A2L1N2	PHI:11937
A0A0A2LNP0	PHI:123382
A0A0A2VP56	PHI:7815
A0A0A7DLN4	PHI:4720
A0A0A7DLV6	PHI:4722
A0A0A7DM22	PHI:4721
A0A0B2X7N4	PHI:123151
A0A0B3VE08	PHI:9699
A0A0B3WJ97	PHI:9698
A0A0B4UFC1	PHI:5439
A0A0B4ZUY6	PHI:6347
A0A0B5J4U6	PHI:4609
A0A0B5JGW8	PHI:4607
A0A0B5JGW8	PHI:9537
A0A0B5JJZ6	PHI:4608
A0A0B6E6Q6	PHI:9105
A0A0B6NL56	PHI:4952
A0A0B6NWQ3	PHI:4950
A0A0B6P199	PHI:4954
A0A0B6P483	PHI:4951
A0A0B6PSU3	PHI:5015
A0A0B6RPI1	PHI:9555
A0A0B6RSX9	PHI:9556
A0A0B6RW42	PHI:9557
A0A0B6XPF7	PHI:11284
A0A0B7KV51	PHI:8470
A0A0B7LYL4	PHI:6320
A0A0B7MDN1	PHI:6322
A0A0B8R3T8	PHI:10730
A0A0C4DHR8	PHI:7682
A0A0C4DHU3	PHI:10249
A0A0C4DHY2	PHI:4879
A0A0C4DHY4	PHI:4880
A0A0C4DI32	PHI:123491
A0A0C5PM61	PHI:6589
A0A0C5UKV3	PHI:8415
A0A0C5UMV1	PHI:9627
A0A0C5V2D4	PHI:9628
A0A0C5V2Y1	PHI:8404
A0A0C6DRX4	PHI:10291
A0A0C6EZ24	PHI:5587
A0A0C6FEF7	PHI:4877
A0A0C9CDU9	PHI:5108
A0A0D1C055	PHI:12058
A0A0D1C5E3	PHI:8068
A0A0D1C6B8	PHI:123385
A0A0D1C6C3	PHI:123390
A0A0D1C7C6	PHI:7046
A0A0D1CL60	PHI:9206
A0A0D1CRF7	PHI:123386
A0A0D1CRG2	PHI:123391
A0A0D1CS12	PHI:123494
A0A0D1CT94	PHI:11414
A0A0D1CVX2	PHI:11705
A0A0D1CW71	PHI:11215
A0A0D1D169	PHI:11598
A0A0D1D175	PHI:9205
A0A0D1D1F2	PHI:11212
A0A0D1D1F2	PHI:11213
A0A0D1DP45	PHI:6426
A0A0D1DRD3	PHI:9209
A0A0D1DU92	PHI:9207
A0A0D1DWQ2	PHI:8816
A0A0D1DWU6	PHI:123317
A0A0D1DX64	PHI:11475
A0A0D1DYP1	PHI:123387
A0A0D1DYP7	PHI:123392
A0A0D1DZX5	PHI:123389
A0A0D1E0C2	PHI:8762
A0A0D1E0M1	PHI:9208
A0A0D1E191	PHI:9867
A0A0D1E1M6	PHI:11413
A0A0D1E1M6	PHI:11415
A0A0D1E1T4	PHI:11210
A0A0D1E2L4	PHI:11586
A0A0D1E3D1	PHI:8183
A0A0D1E3X3	PHI:123388
A0A0D1E4M7	PHI:9204
A0A0D1E5A8	PHI:6346
A0A0D1E6R6	PHI:11704
A0A0D1E904	PHI:11211
A0A0D1E904	PHI:11216
A0A0D1E942	PHI:9210
A0A0D1EA24	PHI:11214
A0A0D2X8F5	PHI:9192
A0A0D2X910	PHI:11062
A0A0D2X980	PHI:9590
A0A0D2X9S0	PHI:7684
A0A0D2XC66	PHI:10879
A0A0D2XDM3	PHI:4724
A0A0D2XEI7	PHI:9050
A0A0D2XG21	PHI:11461
A0A0D2XGR3	PHI:10251
A0A0D2XH67	PHI:10695
A0A0D2XHJ2	PHI:9288
A0A0D2XIB5	PHI:9589
A0A0D2XJY4	PHI:4723
A0A0D2XPQ9	PHI:7636
A0A0D2XQS0	PHI:6317
A0A0D2XQS0	PHI:10250
A0A0D2XVA4	PHI:11121
A0A0D2XVZ5	PHI:5236
A0A0D2XWJ8	PHI:4727
A0A0D2XZG1	PHI:5484
A0A0D2XZG3	PHI:9745
A0A0D2Y5F9	PHI:11117
A0A0D2Y8P9	PHI:7588
A0A0D2YC96	PHI:4725
A0A0D2YD74	PHI:5483
A0A0D2YG10	PHI:6936
A0A0D3LX64	PHI:4618
A0A0D3LXD4	PHI:4617
A0A0D3LXF0	PHI:4619
A0A0D3LXG7	PHI:4620
A0A0D3QGV4	PHI:4687
A0A0D3QGW9	PHI:4685
A0A0D3QH83	PHI:4686
A0A0D5BX39	PHI:4750
A0A0D5SDQ0	PHI:6696
A0A0D5YHB7	PHI:6264
A0A0D5YID2	PHI:6263
A0A0D5YID2	PHI:6383
A0A0D5YKF1	PHI:8812
A0A0D5YKR5	PHI:10392
A0A0D5YL42	PHI:7669
A0A0D5YL42	PHI:11642
A0A0D5YLC8	PHI:10393
A0A0D5YLV4	PHI:10391
A0A0D5YNH1	PHI:11261
A0A0D5ZBN4	PHI:5103
A0A0D6F9C4	PHI:123169
A0A0D6G9U1	PHI:11466
A0A0D6GJV1	PHI:11807
A0A0D6GQ90	PHI:6103
A0A0D6I2I2	PHI:10548
A0A0D6I3U0	PHI:5573
A0A0D6I594	PHI:10179
A0A0D6I7L0	PHI:11417
A0A0D6IDM0	PHI:11151
A0A0D6ZUL4	PHI:11727
A0A0D8EM49	PHI:8421
A0A0E0RLK0 	PHI:1341
A0A0E0RP23	PHI:2395
A0A0E0RRM0 	PHI:1731
A0A0E0RS25 	PHI:1869
A0A0E0RSG8 	PHI:1572
A0A0E0RSS5 	PHI:1932
A0A0E0RST9 	PHI:1662
A0A0E0RT42 	PHI:1930
A0A0E0RTV8 	PHI:1239
A0A0E0RTX3 	PHI:1969
A0A0E0RTZ8	PHI:1837
A0A0E0RU02 	PHI:1936
A0A0E0RU12	PHI:1836
A0A0E0RU69 	PHI:1258
A0A0E0RU90 	PHI:3983
A0A0E0RUE3	PHI:1944
A0A0E0RVH6 	PHI:1691
A0A0E0RVN3 	PHI:1556
A0A0E0RVT6 	PHI:1689
A0A0E0RVW9	PHI:1090
A0A0E0RVW9	PHI:1163
A0A0E0RVW9	PHI:3893
A0A0E0RW49 	PHI:1603
A0A0E0RWM1 	PHI:1849
A0A0E0RXB5 	PHI:1852
A0A0E0RXI2 	PHI:1422
A0A0E0S0J3 	PHI:1242
A0A0E0S0W9	PHI:9823
A0A0E0S0W9 	PHI:1235
A0A0E0S1J9	PHI:1215
A0A0E0S1S6	PHI:9097
A0A0E0S1U8 	PHI:1941
A0A0E0S2Z7	PHI:1266
A0A0E0S2Z7	PHI:4942
A0A0E0S3L8 	PHI:1307
A0A0E0S3R6 	PHI:1831
A0A0E0S3X1 	PHI:1888
A0A0E0S4D3 	PHI:1362
A0A0E0S4E9 	PHI:1947
A0A0E0S4Y5	PHI:9104
A0A0E0S4Y7	PHI:8646
A0A0E0S648	PHI:5780
A0A0E0S657 	PHI:1502
A0A0E0S8J5 	PHI:1694
A0A0E0S972 	PHI:1514
A0A0E0S977	PHI:6119
A0A0E0S977	PHI:6186
A0A0E0S9J4 	PHI:1830
A0A0E0S9S1 	PHI:1874
A0A0E0SA40	PHI:7025
A0A0E0SB24 	PHI:1298
A0A0E0SB30 	PHI:1886
A0A0E0SBQ7 	PHI:1390
A0A0E0SBS3	PHI:1078
A0A0E0SCZ1 	PHI:1916
A0A0E0SDU8 	PHI:1229
A0A0E0SDV0	PHI:1207
A0A0E0SDV0	PHI:3178
A0A0E0SEC8 	PHI:1891
A0A0E0SEE4	PHI:6259
A0A0E0SES1 	PHI:1503
A0A0E0SEV4 	PHI:1612
A0A0E0SFK2 	PHI:1272
A0A0E0SG97 	PHI:1690
A0A0E0SG99 	PHI:1805
A0A0E0SGA3 	PHI:1523
A0A0E0SGT0	PHI:1194
A0A0E0SGT0	PHI:3917
A0A0E0SH47 	PHI:1853
A0A0E0SHK9 	PHI:2716
A0A0E0SHR3 	PHI:2355
A0A0E0SID1	PHI:11601
A0A0E0SIE1	PHI:5737
A0A0E0SIF3 	PHI:1641
A0A0E0SIF3 	PHI:2434
A0A0E0SIZ6	PHI:1016
A0A0E0SIZ6	PHI:1191
A0A0E0SIZ6	PHI:3376
A0A0E0SJJ3 	PHI:5393
A0A0E0SKE0	PHI:5733
A0A0E0SKT2 	PHI:1252
A0A0E0SLE9 	PHI:1653
A0A0E0SM05 	PHI:1373
A0A0E0SME8 	PHI:1939
A0A0E0SMG6	PHI:10494
A0A0E0SMG6 	PHI:1959
A0A0E0SMM8 	PHI:1659
A0A0E0SN30 	PHI:1450
A0A0E0SNE8 	PHI:3036
A0A0E0SNM6	PHI:5735
A0A0E0SPL9 	PHI:1977
A0A0E0SQ29	PHI:10454
A0A0E0SQI9 	PHI:1429
A0A0E0SQJ6 	PHI:1553
A0A0E0SQV5 	PHI:1678
A0A0E0USK4	PHI:7069
A0A0E0UVG9	PHI:6144
A0A0E0UWL3	PHI:9214
A0A0E0UYV6	PHI:11648
A0A0E0V727	PHI:6913
A0A0E1D1R8	PHI:6108
A0A0E1DUV6	PHI:9571
A0A0E1DVG8	PHI:9572
A0A0E1M219	PHI:9601
A0A0E1PRN0	PHI:11868
A0A0E1PTM5	PHI:11869
A0A0E2G7L7	PHI:6570
A0A0E2GV55	PHI:6089
A0A0E2ZL83	PHI:7066
A0A0E3C5K7	PHI:6845
A0A0E3GIM3	PHI:6379
A0A0E3USI9	PHI:4845
A0A0E3X1L1	PHI:5011
A0A0E4D570	PHI:7862
A0A0E7TWI5	PHI:4994
A0A0E9B8Z9	PHI:6361
A0A0F2MLM2	PHI:11688
A0A0F5B4S7	PHI:6595
A0A0F6AWD8	PHI:123051
A0A0F6AWD8	PHI:123074
A0A0F6AWY4	PHI:8241
A0A0F6AX37	PHI:123052
A0A0F6AX50	PHI:8093
A0A0F6AXS9	PHI:8808
A0A0F6AYC2	PHI:7263
A0A0F6AZ24	PHI:7210
A0A0F6AZ25	PHI:7211
A0A0F6AZ26	PHI:7212
A0A0F6AZ27	PHI:7214
A0A0F6AZ28	PHI:7215
A0A0F6AZ29	PHI:7216
A0A0F6AZ30	PHI:7217
A0A0F6AZ30	PHI:8288
A0A0F6AZI6	PHI:8259
A0A0F6AZN3	PHI:123431
A0A0F6AZV0	PHI:11065
A0A0F6B0W4	PHI:6893
A0A0F6B0W4	PHI:10099
A0A0F6B0W5	PHI:10100
A0A0F6B0W6	PHI:10101
A0A0F6B0W7	PHI:10102
A0A0F6B0W8	PHI:10103
A0A0F6B0W9	PHI:10104
A0A0F6B0X0	PHI:10105
A0A0F6B0X1	PHI:10106
A0A0F6B0X2	PHI:10107
A0A0F6B0X3	PHI:10109
A0A0F6B0X4	PHI:10110
A0A0F6B0X5	PHI:10111
A0A0F6B0X6	PHI:10112
A0A0F6B0X7	PHI:10113
A0A0F6B0X8	PHI:10114
A0A0F6B0X9	PHI:10115
A0A0F6B0Y0	PHI:10116
A0A0F6B0Y2	PHI:10118
A0A0F6B0Y3	PHI:10119
A0A0F6B0Y4	PHI:10120
A0A0F6B0Y6	PHI:8240
A0A0F6B0Y6	PHI:10121
A0A0F6B0Y6	PHI:123533
A0A0F6B0Y7	PHI:8244
A0A0F6B0Y7	PHI:10122
A0A0F6B0Y8	PHI:10125
A0A0F6B0Y9	PHI:10126
A0A0F6B0Z1	PHI:10127
A0A0F6B0Z2	PHI:10128
A0A0F6B0Z3	PHI:10129
A0A0F6B0Z4	PHI:10130
A0A0F6B0Z5	PHI:10131
A0A0F6B0Z6	PHI:10132
A0A0F6B0Z7	PHI:10133
A0A0F6B0Z8	PHI:10134
A0A0F6B0Z9	PHI:10135
A0A0F6B100	PHI:10136
A0A0F6B101	PHI:10137
A0A0F6B102	PHI:10138
A0A0F6B103 	PHI:10140
A0A0F6B104	PHI:10141
A0A0F6B105	PHI:10142
A0A0F6B106	PHI:10143
A0A0F6B107	PHI:10145
A0A0F6B108	PHI:10146
A0A0F6B109	PHI:10147
A0A0F6B110	PHI:10148
A0A0F6B111	PHI:10149
A0A0F6B112	PHI:10150
A0A0F6B113	PHI:10151
A0A0F6B114	PHI:10152
A0A0F6B136	PHI:8139
A0A0F6B1I9	PHI:123381
A0A0F6B1M0	PHI:7225
A0A0F6B1M3	PHI:7355
A0A0F6B1Q1	PHI:6982
A0A0F6B1W8	PHI:7660
A0A0F6B1W9	PHI:7659
A0A0F6B1X0	PHI:7658
A0A0F6B1X1	PHI:7657
A0A0F6B259	PHI:123379
A0A0F6B4X5	PHI:123380
A0A0F6B506	PHI:123365
A0A0F6B5P2	PHI:10052
A0A0F6B5P3	PHI:10053
A0A0F6B5P4	PHI:10054
A0A0F6B5P5	PHI:10055
A0A0F6B5P6	PHI:10056
A0A0F6B5P8	PHI:10058
A0A0F6B5P9	PHI:10059
A0A0F6B5Q0	PHI:10060
A0A0F6B5Q1	PHI:10061
A0A0F6B5Q2	PHI:10062
A0A0F6B5Q4	PHI:10063
A0A0F6B5Q6	PHI:10064
A0A0F6B5Q8	PHI:10065
A0A0F6B5Q9	PHI:10066
A0A0F6B5R0	PHI:10067
A0A0F6B5R1	PHI:10068
A0A0F6B5R2	PHI:10069
A0A0F6B5R3	PHI:10070
A0A0F6B5R4	PHI:10071
A0A0F6B5R5	PHI:10072
A0A0F6B5R6	PHI:10073
A0A0F6B5R8	PHI:10074
A0A0F6B5S0	PHI:10075
A0A0F6B5S1	PHI:10076
A0A0F6B5S2	PHI:10077
A0A0F6B5S3	PHI:10078
A0A0F6B5S4	PHI:10079
A0A0F6B5S6	PHI:10081
A0A0F6B5S8	PHI:10082
A0A0F6B5S9	PHI:10083
A0A0F6B5T0	PHI:10084
A0A0F6B5T1	PHI:10085
A0A0F6B5T3	PHI:10087
A0A0F6B5T5	PHI:10088
A0A0F6B5T7	PHI:10089
A0A0F6B5T8	PHI:10090
A0A0F6B5T9	PHI:10092
A0A0F6B5U0	PHI:10093
A0A0F6B5U1	PHI:10094
A0A0F6B5U2	PHI:10095
A0A0F6B5U3	PHI:10096
