A0A016PMX1	PHI:A0A016PMX1
A0A016PTV5	PHI:A0A016PTV5
A0A016PUA3	PHI:A0A016PUA3
A0A016PW58	PHI:A0A016PW58
A0A016PX00	PHI:A0A016PX00
A0A016Q4W5	PHI:A0A016Q4W5
A0A098DCR9	PHI:A0A098DCR9
A0A098DG53	PHI:A0A098DG53
A0A098DK45	PHI:A0A098DK45
A0A098DM90	PHI:A0A098DM90
A0A098DMJ4	PHI:A0A098DMJ4
A0A098DRE2	PHI:A0A098DRE2
A0A098DRQ4	PHI:A0A098DRQ4
A0A098DTB5	PHI:A0A098DTB5
A0A098DXK5	PHI:A0A098DXK5
A0A098E428	PHI:A0A098E428
A0A0E0S4Y7	PHI:A0A0E0S4Y7
A0A0E0S648	PHI:A0A0E0S648
A0A0E0SA40	PHI:A0A0E0SA40
A0A0E0SEE4	PHI:A0A0E0SEE4
A0A0E0SIE1	PHI:A0A0E0SIE1
A0A0E0SKE0	PHI:A0A0E0SKE0
A0A0E0SNM6	PHI:A0A0E0SNM6
A0A1C3YI15	PHI:A0A1C3YI15
A0A1C3YIA8	PHI:A0A1C3YIA8
A0A1C3YIJ6	PHI:A0A1C3YIJ6
A0A1C3YIL6	PHI:A0A1C3YIL6
A0A1C3YIW2	PHI:A0A1C3YIW2
A0A1C3YJ88	PHI:A0A1C3YJ88
A0A1C3YJ97	PHI:A0A1C3YJ97
A0A1C3YJF1	PHI:A0A1C3YJF1
A0A1C3YK62	PHI:A0A1C3YK62
A0A1C3YKC6	PHI:A0A1C3YKC6
A0A1C3YKG4	PHI:A0A1C3YKG4
A0A1C3YKG6	PHI:A0A1C3YKG6
A0A1C3YKI8	PHI:A0A1C3YKI8
A0A1C3YKY7	PHI:A0A1C3YKY7
A0A1C3YL50	PHI:A0A1C3YL50
A0A1C3YL99	PHI:A0A1C3YL99
A0A1C3YMJ9	PHI:A0A1C3YMJ9
A0A1C3YML3	PHI:A0A1C3YML3
A0A1C3YMM2	PHI:A0A1C3YMM2
A0A1C3YMM6	PHI:A0A1C3YMM6
A0A1C3YMR1	PHI:A0A1C3YMR1
A0A1C3YMR4	PHI:A0A1C3YMR4
A0A1C3YMS1	PHI:A0A1C3YMS1
A0A1C3YMZ2	PHI:A0A1C3YMZ2
A0A1C3YMZ9	PHI:A0A1C3YMZ9
A0A1C3YN32	PHI:A0A1C3YN32
F6MFB4	PHI:F6MFB4
G8CYZ6	PHI:G8CYZ6
I1R980	PHI:I1R980
I1R983	PHI:I1R983
I1R9B9	PHI:I1R9B9
I1R9C6	PHI:I1R9C6
I1R9C7	PHI:I1R9C7
I1R9C8	PHI:I1R9C8
I1R9D4	PHI:I1R9D4
I1R9E5	PHI:I1R9E5
I1R9G3	PHI:I1R9G3
I1R9I4	PHI:I1R9I4
I1R9J1	PHI:I1R9J1
I1R9K1	PHI:I1R9K1
I1R9K2	PHI:I1R9K2
I1R9K3	PHI:I1R9K3
I1R9K8	PHI:I1R9K8
I1R9M1	PHI:I1R9M1
I1R9N5	PHI:I1R9N5
I1R9P3	PHI:I1R9P3
I1R9P8	PHI:I1R9P8
I1R9R2	PHI:I1R9R2
I1R9S1	PHI:I1R9S1
I1R9S7	PHI:I1R9S7
I1R9T1	PHI:I1R9T1
I1R9W2	PHI:I1R9W2
I1R9X6	PHI:I1R9X6
I1R9Z0	PHI:I1R9Z0
I1R9Z6	PHI:I1R9Z6
I1RA01	PHI:I1RA01
I1RA06	PHI:I1RA06
I1RA07	PHI:I1RA07
I1RA15	PHI:I1RA15
I1RA20	PHI:I1RA20
I1RA24	PHI:I1RA24
I1RA31	PHI:I1RA31
I1RA39	PHI:I1RA39
I1RA50	PHI:I1RA50
I1RA52	PHI:I1RA52
I1RA77	PHI:I1RA77
I1RA81	PHI:I1RA81
I1RA89	PHI:I1RA89
I1RAA6	PHI:I1RAA6
I1RAA8	PHI:I1RAA8
I1RAE2	PHI:I1RAE2
I1RAE5	PHI:I1RAE5
