"phibase_id","uniprot_a","ensembl_a","taxid_species_a","organism_a","taxid_strain_a","strain_a","uniprot_matches_a","modification_a","uniprot_b","ensembl_b","taxid_species_b","organism_b","taxid_strain_b","strain_b","uniprot_matches_b","modification_b","phenotype","disease","host_tissue","evidence_code","interaction_type","pmid","high_level_terms"
"PHI:3","P26215",,5017,"Bipolaris zeicola",,"SB111","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024","PHIDO:0000211","BTO:0003973",,"interspecies interaction",2152162,"Unaffected pathogenicity"
"PHI:7","P22287",,5499,"Fulvia fulva",,,"none","gene deletion",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000280","PHIDO:0000209","BTO:0003973","gene complementation; biochemical evidence","interspecies interaction",1799694,"Effector"
"PHI:12","Q01886",,5017,"Bipolaris zeicola",,"SB111","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000010","PHIDO:0000211","BTO:0003973",,"interspecies interaction",11607305,"Loss of pathogenicity"
"PHI:14","P0C017",,5207,"Cryptococcus neoformans",235443,"var. grubii serotype A strain H99","strain","gene disruption",,,6239,"Caenorhabditis elegans",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",12438649,"Reduced virulence"
"PHI:14","P0C017",,5207,"Cryptococcus neoformans",235443,"var. grubii serotype A strain H99","strain","gene disruption",,,9986,"Oryctolagus cuniculus",,,"none",,"PHIPO:0000010","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",12438649,"Loss of pathogenicity"
"PHI:15","P52751",,318829,"Magnaporthe oryzae",,"Guy11","none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000015; PHIPO:0000030","PHIDO:0000315","BTO:0003973",,"interspecies interaction",8312740,"Reduced virulence"
"PHI:17","Q00663",,5482,"Candida tropicalis",5482,"ATCC 750","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",7983570,"Reduced virulence"
"PHI:18","Q00363",,5499,"Fulvia fulva",,,"none","gene mutation: characterised",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000280","PHIDO:0000209","BTO:0003973","biochemical analysis; gene complementation","interspecies interaction",8114941,"Effector"
"PHI:19","P34809",,5207,"Cryptococcus neoformans",235443,"H99","none","gene mutation: characterised",,,9986,"Oryctolagus cuniculus",,,"none",,"PHIPO:0000015; PHIPO:0000363","PHIDO:0000105","BTO:0003973",,"interspecies interaction",7991574,"Reduced virulence"
"PHI:22","P49606",,5270,"Ustilago maydis",,,"none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000010","PHIDO:0000230","BTO:0003973","gene complementation","interspecies interaction",7995519,"Loss of pathogenicity"
"PHI:24","Q00903",,29850,"Gaeumannomyces graminis",29850,"var. avenae strain A3","strain","gene disruption",,,4498,"Avena sativa",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000024",,"BTO:0003973",,"interspecies interaction",7824933,"Loss of pathogenicity"
"PHI:25","Q258K5",,5022,"Leptosphaeria maculans",,"v23.1.3","none","gene disruption",,,3708,"Brassica napus",,,"none",,"PHIPO:0000280","PHIDO:0000274","BTO:0003973",,"interspecies interaction",16556221,"Effector"
"PHI:26","P28873",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",7591094,"Reduced virulence"
"PHI:27","Q00368",,474922,"Colletotrichum gloeosporioides",,,"none","gene disruption",,,4081,"Solanum lycopersicum",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000954; PHIPO:0000024","PHIDO:0000013","BTO:0003973",,"interspecies interaction",7756829,"Loss of pathogenicity"
"PHI:27","Q00368",,474922,"Colletotrichum gloeosporioides",,,"none","gene disruption",,,3435,"Persea americana",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000954; PHIPO:0000024","PHIDO:0000013","BTO:0003973",,"interspecies interaction",7756829,"Loss of pathogenicity"
"PHI:31","P30573",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",7479842,"Reduced virulence"
"PHI:33","P43076",,5476,"Candida albicans",5476,"CAF3-1","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973",,"interspecies interaction",7591097,"Reduced virulence"
"PHI:36","Q01143",,318829,"Magnaporthe oryzae",242507,"70-15","none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000030; PHIPO:0000057; PHIPO:0000956; PHIPO:0000059","PHIDO:0000315","BTO:0003973",,"interspecies interaction",8535140,"Loss of pathogenicity"
"PHI:37","Q99129",,5270,"Ustilago maydis",237631,"518; 521","none","gene deletion",,,4577,"Zea mays",,,"none",,"PHIPO:0000015","PHIDO:0000230","BTO:0003973",,"interspecies interaction",8647387,"Reduced virulence"
"PHI:38","Q02039",,914237,"Rhynchosporium commune",,,"none",,,,4513,"Hordeum vulgare",112509,,"none",,"PHIPO:0000280","PHIDO:0000208; PHIDO:0000322","BTO:0003973","other evidence","interspecies interaction",7556057,"Effector"
"PHI:39","Q6Q475",,67593,"Phytophthora sojae",,,"none",,,,4043,"Petroselinum crispum",,,"none",,"PHIPO:0000004","PHIDO:0000318","BTO:0003973","other evidence","interspecies interaction",7892267,"Unaffected pathogenicity"
"PHI:40","P79068",,5462,"Colletotrichum lagenaria",,"104-T","none","gene complementation",,,3659,"Cucumis sativus",,,"none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000954; PHIPO:0000030","PHIDO:0000013","BTO:0003973",,"interspecies interaction",7500937,"Reduced virulence"
"PHI:41","Q01145",,318829,"Magnaporthe oryzae",,,"none","gene complementation",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000280","PHIDO:0000315","BTO:0003973",,"interspecies interaction",8664503,"Effector"
"PHI:42","Q01144",,318829,"Magnaporthe oryzae",,4392-01-06,"none","gene complementation",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000280","PHIDO:0000315","BTO:0003973",,"interspecies interaction",7549480,"Effector"
"PHI:44","Q8NJV0",,5518,"Fusarium graminearum",449239,"GZ3639","none","gene disruption",,,4498,"Avena sativa",,"cv. Porter","none",,"PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024","PHIDO:0000162","BTO:0001228","gene complementation","interspecies interaction",8589414,"Unaffected pathogenicity"
"PHI:44","Q8NJV0",,5518,"Fusarium graminearum",449239,"GZ3639","none","gene disruption",,,4550,"Secale cereale",,"common winter rye","none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024","PHIDO:0000162","BTO:0001228","gene complementation","interspecies interaction",8589414,"Reduced virulence"
"PHI:44","Q8NJV0",,5518,"Fusarium graminearum",449239,"GZ3639","none","gene disruption",,,4577,"Zea mays",,"cv. Golden Bantam","none",,"PHIPO:0000004; PHIPO:0000331; PHIPO:0000954; PHIPO:0000024","PHIDO:0000162","BTO:0001228","gene complementation","interspecies interaction",8589414,"Unaffected pathogenicity"
"PHI:3518","Q00909",,5518,"Fusarium graminearum",229533,"PH-1","strain","gene deletion",,,3702,"Arabidopsis thaliana",,"ecotype Landsberg erecta","none",,"PHIPO:0000004","PHIDO:0000162","BTO:0000628","biochemical analysis","interspecies interaction",18179606,"Unaffected pathogenicity"
"PHI:3518","Q00909",,5518,"Fusarium graminearum",229533,"PH-1","strain","gene deletion",,,4565,"Triticum aestivum",,"cv. Bobwhite","none",,"PHIPO:0000015","PHIDO:0000162","BTO:0001278","biochemical analysis","interspecies interaction",18179606,"Reduced virulence"
"PHI:47","Q00819",,5207,"Cryptococcus neoformans",,"B4131","none","gene disruption; gene deletion",,,10090,"Mus musculus",,,"none",,"PHIPO:0000010","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",8675296,"Loss of pathogenicity"
"PHI:48","Q59J76",,5207,"Cryptococcus neoformans",,"B-4476; E2","none","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",8760791,"Reduced virulence"
"PHI:48","Q59J76",,5207,"Cryptococcus neoformans",,"serotype D strain ATCC 208819","none","gene disruption",,,6239,"Caenorhabditis elegans",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",12438649,"Reduced virulence"
"PHI:48","Q59J76",,5207,"Cryptococcus neoformans",235443,"H99","none","gene disruption",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000015","PHIDO:0000105","BTO:0003973","gene complementation","interspecies interaction",15972469,"Reduced virulence"
"PHI:49","Q00580",,5116,"Cryphonectria parasitica",660469,"EP155","none","gene disruption",,,134033,"Castanea dentata",,,"none",,"PHIPO:0000015","PHIDO:0000080","BTO:0003973",,"interspecies interaction",11038529,"Reduced virulence"
"PHI:52","Q01168",,318829,"Magnaporthe oryzae",,"Guy11","none","gene disruption",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000004","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",8757395,"Unaffected pathogenicity"
"PHI:52","Q01168",,318829,"Magnaporthe oryzae",,"Guy11","none","gene disruption",,,4513,"Hordeum vulgare",112509,,"none",,"PHIPO:0000015","PHIDO:0000315","BTO:0003973",,"interspecies interaction",11277427,"Reduced virulence"
"PHI:53","Q6LD98",,169388,"Fusarium solani",,"77-13-7","none",,,,3888,"Pisum sativum",,,"none",,"PHIPO:0000015","PHIDO:0000318","BTO:0003973","other evidence","interspecies interaction",12925899,"Reduced virulence"
"PHI:55","Q92217",,5016,"Bipolaris maydis",5016,"C4","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000015; PHIPO:0000331; PHIPO:0000363; PHIPO:0000024","PHIDO:0000207","BTO:0003973",,"interspecies interaction",8953776,"Reduced virulence"
"PHI:56","Q92246",,318829,"Magnaporthe oryzae",,"Guy11","none","gene deletion",,,4530,"Oryza sativa",,,"none",,"PHIPO:0000010; PHIPO:0000355; PHIPO:0000363; PHIPO:0000030; PHIPO:0000059","PHIDO:0000315","BTO:0003973","gene complementation","interspecies interaction",8946911,"Loss of pathogenicity"
"PHI:57","Q99101",,5270,"Ustilago maydis",559306,"FB1; FB2","none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000010","PHIDO:0000230","BTO:0003973",,"interspecies interaction",8612587,"Loss of pathogenicity"
"PHI:58","Q00455",,5462,"Colletotrichum lagenaria",,"9201Y","none","gene deletion",,,3659,"Cucumis sativus",,,"none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000030","PHIDO:0000013","BTO:0003973","gene complementation","interspecies interaction",8953707,"Reduced virulence"
"PHI:59","P87025",,5462,"Colletotrichum lagenaria",,"104-T","none","gene disruption",,,3659,"Cucumis sativus",,,"none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000030","PHIDO:0000013","BTO:0003973",,"interspecies interaction",8672814,"Reduced virulence"
"PHI:60","Q00357",,5017,"Bipolaris zeicola",,,"none","gene disruption",,,4577,"Zea mays",,,"none",,"PHIPO:0000513","PHIDO:0000211","BTO:0003973",,"interspecies interaction",8704997,"Lethal"
"PHI:61","P43070",,5476,"Candida albicans",5476,"CAI4","strain","gene disruption",,,10090,"Mus musculus",,,"none",,"PHIPO:0000015","PHIDO:0000071","BTO:0003973","gene complementation","interspecies interaction",9043114,"Reduced virulence"
